"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","TC-LOGIN-022: Login with password in uppercase","webkit","Sat Jul 19 07:15:48 GMT 2025","failed","Sat Jul 19 07:15:48 GMT 2025","Verify the user login with case sensitivity","e2e/e2e-login.spec.ts","",""
"","8613","TC_SEARCH_013: Verify search with a non-existing employee ID","chromium","Sat Jul 19 06:58:01 GMT 2025","failed","Sat Jul 19 06:58:10 GMT 2025","PIM Search Functionality","e2e/PIM/searchEmployee.e2e.spec.ts","",""
"","2949","TC-LOGIN-022: Login with password in uppercase","firefox","Sat Jul 19 07:05:55 GMT 2025","passed","Sat Jul 19 07:05:58 GMT 2025","Verify the user login with case sensitivity","e2e/e2e-login.spec.ts","",""
"","3","TC-LOGIN-026: Login with username in Chinese","webkit","Sat Jul 19 07:15:58 GMT 2025","failed","Sat Jul 19 07:15:58 GMT 2025","Verify the user login with multi-languages","e2e/e2e-login.spec.ts","",""
"","7204","TC-LOGIN-036: Login with strong valid password","firefox","Sat Jul 19 07:07:09 GMT 2025","failed","Sat Jul 19 07:07:16 GMT 2025","Verify the password that meets all criteria perfectly","e2e/e2e-login.spec.ts","",""
"","3","TC-LOGIN-017: Login with password at min length","webkit","Sat Jul 19 07:15:36 GMT 2025","failed","Sat Jul 19 07:15:36 GMT 2025","Verify the user login with max/min length","e2e/e2e-login.spec.ts","",""
"","3","TC_SEARCH_008: Verify search with special characters","webkit","Sat Jul 19 07:16:52 GMT 2025","failed","Sat Jul 19 07:16:52 GMT 2025","Global Sidebar Search Functionality","e2e/PIM/searchEmployee.e2e.spec.ts","",""
"","1708","TC-LOGIN-026: Login with username in Chinese","chromium","Sat Jul 19 06:54:51 GMT 2025","passed","Sat Jul 19 06:54:52 GMT 2025","Verify the user login with multi-languages","e2e/e2e-login.spec.ts","",""
"","2282","TC-LOGIN-034: Reset password with valid username","chromium","Sat Jul 19 06:55:05 GMT 2025","passed","Sat Jul 19 06:55:08 GMT 2025","Verify the password reset functionality","e2e/e2e-login.spec.ts","",""
"","3","TC-LOGIN-037: Login with username having emojis","webkit","Sat Jul 19 07:16:25 GMT 2025","failed","Sat Jul 19 07:16:25 GMT 2025","Verify the user login with emojis","e2e/e2e-login.spec.ts","",""
"","1728","TC-LOGIN-025: Login with password in lowercase","chromium","Sat Jul 19 06:54:49 GMT 2025","passed","Sat Jul 19 06:54:51 GMT 2025","Verify the user login with case sensitivity","e2e/e2e-login.spec.ts","",""
"","2281","TC-LOGIN-017: Login with password at min length","firefox","Sat Jul 19 07:04:27 GMT 2025","passed","Sat Jul 19 07:04:29 GMT 2025","Verify the user login with max/min length","e2e/e2e-login.spec.ts","",""
"","2274","TC-LOGIN-029: Login with password in Arabic","firefox","Sat Jul 19 07:06:36 GMT 2025","passed","Sat Jul 19 07:06:38 GMT 2025","Verify the user login with multi-languages","e2e/e2e-login.spec.ts","",""
"","3","TC-LOGIN-027: Login with password in Chinese","webkit","Sat Jul 19 07:16:00 GMT 2025","failed","Sat Jul 19 07:16:00 GMT 2025","Verify the user login with multi-languages","e2e/e2e-login.spec.ts","",""
"","4214","TC_SEARCH_017: Verify search with an existing Supervisor name","firefox","Sat Jul 19 07:11:22 GMT 2025","passed","Sat Jul 19 07:11:26 GMT 2025","PIM Search Functionality","e2e/PIM/searchEmployee.e2e.spec.ts","",""
"","3","TC_SEARCH_022: Verify search by Sub Unit","webkit","Sat Jul 19 07:17:26 GMT 2025","failed","Sat Jul 19 07:17:26 GMT 2025","PIM Search Functionality","e2e/PIM/searchEmployee.e2e.spec.ts","",""
"","10381","TC_SEARCH_020: Verify search with numbers in Supervisor name","firefox","Sat Jul 19 07:13:00 GMT 2025","failed","Sat Jul 19 07:13:10 GMT 2025","PIM Search Functionality","e2e/PIM/searchEmployee.e2e.spec.ts","",""
"","3","TC-LOGIN-005: Login with empty password","webkit","Sat Jul 19 07:15:07 GMT 2025","failed","Sat Jul 19 07:15:07 GMT 2025","Verify the user leaves empty fields","e2e/e2e-login.spec.ts","",""
"","7715","TC-LOGIN-020: Login with mixed case username","firefox","Sat Jul 19 07:05:17 GMT 2025","failed","Sat Jul 19 07:05:25 GMT 2025","Verify the user login with case sensitivity","e2e/e2e-login.spec.ts","",""
"","3","TC_SEARCH_018: Verify search with a non-existing Supervisor name","webkit","Sat Jul 19 07:17:16 GMT 2025","failed","Sat Jul 19 07:17:16 GMT 2025","PIM Search Functionality","e2e/PIM/searchEmployee.e2e.spec.ts","",""
"","3","TC_SEARCH_014: Verify search with strings in the Employee ID field","webkit","Sat Jul 19 07:17:07 GMT 2025","failed","Sat Jul 19 07:17:07 GMT 2025","PIM Search Functionality","e2e/PIM/searchEmployee.e2e.spec.ts","",""
"","3597","TC-LOGIN-039: Multiple failed login attempts","chromium","Sat Jul 19 06:55:34 GMT 2025","passed","Sat Jul 19 06:55:37 GMT 2025","Verify the user login with multiple attempts","e2e/e2e-login.spec.ts","",""
"","3","TC-LOGIN-033: Login with password having XSS attack","webkit","Sat Jul 19 07:16:15 GMT 2025","failed","Sat Jul 19 07:16:15 GMT 2025","Verify the user login with XSS attack","e2e/e2e-login.spec.ts","",""
"","3","TC-LOGIN-032: Login with username having XSS attack","webkit","Sat Jul 19 07:16:13 GMT 2025","failed","Sat Jul 19 07:16:13 GMT 2025","Verify the user login with XSS attack","e2e/e2e-login.spec.ts","",""
"","6158","TC-LOGIN-023: Login with password with first letter uppercase","chromium","Sat Jul 19 06:54:40 GMT 2025","failed","Sat Jul 19 06:54:46 GMT 2025","Verify the user login with case sensitivity","e2e/e2e-login.spec.ts","",""
"","3","TC-LOGIN-031: Login with password having SQL injection","webkit","Sat Jul 19 07:16:10 GMT 2025","failed","Sat Jul 19 07:16:10 GMT 2025","Verify the user login with SQL injection","e2e/e2e-login.spec.ts","",""
